provider_id,agency_name,street_address,city,state,zip_code,total_episodes_non_lupa,distinct_beneficiaries_non_lupa,average_number_of_total_visits_per_episode_non_lupa,average_number_of_skilled_nursing_visits_per_episode_non_lupa,average_number_of_pt_visits_per_episode_non_lupa,average_number_of_ot_visits_per_episode_non_lupa,average_number_of_st_visits_per_episode_non_lupa,average_number_of_home_health_aide_visits_per_episode_non_lupa,average_number_of_medical_social_visits_per_episode_non_lupa,total_hha_charge_amount_non_lupa,total_hha_medicare_payment_amount_non_lupa,total_hha_medicare_standard_payment_amount_non_lupa,outlier_payments_as_a_percent_of_medicare_payment_amount_non_lupa,total_lupa_episodes,total_hha_medicare_payment_amount_for_lupas,average_age,male_beneficiaries,female_beneficiaries,nondual_beneficiaries,dua_beneficiaries,white_beneficiaries,black_beneficiaries,asian_pacific_islander_beneficiaries,hispanic_beneficiaries,american_indian_or_alaska_native_beneficiaries,other_unknown_beneficiaries,average_hcc_score,percent_of_beneficiaries_with_atrial_fibrillation,percent_of_beneficiaries_with_alzheimers,percent_of_beneficiaries_with_asthma,percent_of_beneficiaries_with_cancer,percent_of_beneficiaries_with_chf,percent_of_beneficiaries_with_chronic_kidney_disease,percent_of_beneficiaries_with_copd,percent_of_beneficiaries_with_depression,percent_of_beneficiaries_with_diabetes,percent_of_beneficiaries_with_hyperlipidemia,percent_of_beneficiaries_with_hypertension,percent_of_beneficiaries_with_ihd,percent_of_beneficiaries_with_osteoporosis,percent_of_beneficiaries_with_ra_oa,percent_of_beneficiaries_with_schizophrenia,percent_of_beneficiaries_with_stroke
108007,INTERIM HEALTHCARE OF LAKELAND INC,1525 S FLORIDA AVE STE 3,LAKELAND,FL,33803,106,76,23.9,7.7,8.1,1.2,0.0,6.5,0.3,327631,318726,358505,3.9,12.0,3298.0,78,19.0,57.0,59.0,17.0,66.0,,,,0.0,0.0,1.85,21,36.0,17.0,13,37.0,43.0,30.0,49.0,53.0,,,61.0,20,59.0,9.0,9
108171,MEDERI CARETENDERS,5260 STATION WAY BLDG B,SARASOTA,FL,34233,304,241,19.7,9.2,6.2,3.8,0.6,0.5,0.3,1008124,1017718,1060452,1.9,22.0,8456.0,82,96.0,145.0,212.0,29.0,218.0,12.0,,,0.0,0.0,2.06,31,39.0,11.0,19,39.0,42.0,29.0,40.0,38.0,65.0,,58.0,25,58.0,9.0,13
137121,ALL CARE HEALTH SOLUTIONS,815 S BRIDGEWAY PL,EAGLE,ID,83616,320,173,22.0,8.1,9.5,2.4,0.2,1.4,0.3,1041265,1194006,1284923,0.0,13.0,4562.0,68,70.0,103.0,50.0,123.0,142.0,,,25.0,0.0,0.0,2.79,14,20.0,13.0,9,33.0,41.0,32.0,58.0,46.0,52.0,73.0,39.0,19,41.0,11.0,6
137106,LEGACY HOME HEALTH,"680 S PROGRESS AVENUE, SUITE 2A",MERIDIAN,ID,83642,595,460,15.3,5.2,7.6,1.3,0.3,0.6,0.3,1353380,1823250,1960233,0.1,52.0,20055.0,82,136.0,324.0,362.0,98.0,441.0,,,16.0,0.0,0.0,1.97,21,42.0,11.0,12,36.0,40.0,22.0,46.0,34.0,44.0,,34.0,22,51.0,8.0,10
148293,"GET WELL, INC",5225 W TOUHY SUITE 103,SKOKIE,IL,60077,159,64,13.5,8.2,4.3,0.3,0.0,0.5,0.3,460229,400568,392504,0.0,17.0,7011.0,73,23.0,41.0,24.0,40.0,,39.0,,,0.0,0.0,1.79,16,33.0,33.0,8,44.0,39.0,34.0,45.0,61.0,73.0,,,14,,3.0,11
147018,SOUTHWESTERN IL VISITING NURSE ASSOC,7 EXECUTIVE WOODS,SWANSEA,IL,62226,367,241,17.7,9.1,4.6,1.0,0.1,2.6,0.3,886666,1017228,1083723,0.4,86.0,27562.0,77,79.0,162.0,154.0,87.0,175.0,64.0,,,0.0,0.0,2.48,24,28.0,12.0,12,52.0,51.0,37.0,42.0,49.0,66.0,,65.0,12,58.0,10.0,11
157213,INTREPID USA HEALTHCARE SERVICES,3333 FOUNDERS RD STE 100,INDIANAPOLIS,IN,46268,591,321,19.5,10.0,6.3,1.1,0.2,1.7,0.3,2171096,1891423,1906903,0.4,54.0,18516.0,74,111.0,210.0,190.0,131.0,265.0,54.0,,,0.0,0.0,2.2,19,30.0,16.0,14,45.0,50.0,39.0,49.0,54.0,57.0,,54.0,14,57.0,11.0,12
178083,AMEDISYS HOME HEALTH CARE,"11100 ASH STREET,  SUITE 105",LEAWOOD,KS,66211,133,117,18.9,7.2,5.9,4.6,0.8,0.0,0.3,353129,445079,472729,0.0,16.0,6191.0,70,50.0,67.0,86.0,31.0,96.0,16.0,,,0.0,0.0,2.73,15,19.0,12.0,15,34.0,47.0,32.0,41.0,46.0,61.0,,50.0,15,53.0,6.0,11
187129,BROOKDALE HOME HEALTH AGENCY,"3051 RIO DOSA DRIVE, SUITE 356",LEXINGTON,KY,40509,356,229,21.1,9.8,6.3,4.5,0.5,0.0,0.3,1220963,1215495,1347631,0.1,24.0,7130.0,81,74.0,155.0,195.0,34.0,206.0,21.0,,,0.0,0.0,2.22,23,53.0,14.0,12,38.0,45.0,34.0,55.0,39.0,64.0,,55.0,21,74.0,17.0,16
347123,LIFE PATH HOME HEALTH,914 CHAPEL HILL ROAD,BURLINGTON,NC,27215,157,126,14.7,6.4,4.3,1.6,0.5,1.7,0.3,231412,387868,444560,0.0,37.0,13919.0,79,54.0,72.0,105.0,21.0,104.0,18.0,,,0.0,0.0,2.07,21,47.0,13.0,21,32.0,53.0,37.0,32.0,40.0,48.0,,48.0,18,37.0,7.0,9
367158,ELDERCARE SERVICES INSTITUTE HOME CARE,11890 FAIRHILL ROAD,CLEVELAND,OH,44120,57,37,15.0,9.3,1.6,0.4,0.1,3.3,0.3,93085,111194,116450,2.4,13.0,4428.0,76,,,14.0,23.0,17.0,18.0,,,0.0,0.0,1.98,14,62.0,16.0,8,30.0,43.0,24.0,51.0,54.0,57.0,,38.0,8,54.0,41.0,14
407320,ST LUKES HCP,198 MENDEZ VIGO,MAYAGUEZ,PR,680,256,165,21.8,9.3,5.4,0.8,0.7,5.5,0.3,691295,434084,794181,0.8,54.0,10476.0,79,74.0,91.0,,,,0.0,,162.0,0.0,0.0,2.06,5,36.0,8.0,7,31.0,33.0,12.0,15.0,61.0,35.0,,37.0,6,34.0,4.0,12
447434,EXTENDICARE HOME HEALTH OF WESTERN TN,"1720 EAST REELFOOT AVENUE, SUITE 203",UNION CITY,TN,38261,403,224,16.5,6.5,7.4,0.0,0.0,2.4,0.3,1351689,1039832,1274456,0.0,31.0,9662.0,79,72.0,152.0,146.0,78.0,212.0,,,,0.0,0.0,1.8,17,27.0,9.0,12,42.0,51.0,38.0,29.0,42.0,58.0,,54.0,13,55.0,9.0,14
447278,AMEDISYS HOME HEALTH CARE,8 STONEBRIDGE BLVD SUITE L,JACKSON,TN,38305,3718,1752,18.5,8.0,6.8,1.1,0.4,1.9,0.3,11526121,10293139,12640004,0.0,281.0,80360.0,77,581.0,1171.0,1120.0,632.0,1504.0,228.0,,,0.0,11.0,2.18,17,35.0,9.0,11,49.0,46.0,39.0,37.0,47.0,58.0,,64.0,13,65.0,14.0,12
557561,SONORA REGIONAL HOME HEALTH,20100 CEDAR ROAD NORTH,SONORA,CA,95370,1921,1461,14.0,8.0,3.5,0.8,0.3,0.8,0.6,5700627,6002660,4866770,0.2,167.0,88199.0,78,606.0,855.0,1190.0,271.0,1361.0,,,60.0,16.0,12.0,1.72,19,22.0,12.0,17,38.0,39.0,28.0,32.0,31.0,54.0,,39.0,15,55.0,5.0,10
27002,HOSPICE & HOME CARE OF JUNEAU,419 SIXTH STREET,JUNEAU,AK,99801,99,78,15.4,7.3,4.5,1.1,0.1,1.9,0.6,270961,343983,261256,1.4,28.0,15371.0,78,27.0,51.0,50.0,28.0,57.0,0.0,,0.0,16.0,,1.87,17,31.0,13.0,13,37.0,27.0,22.0,22.0,41.0,41.0,72.0,24.0,18,28.0,4.0,10
17069,AMEDISYS HOME HEALTH OF FOLEY,1809 N MCKENZIE STREET,FOLEY,AL,36535,2061,1019,18.0,8.5,4.6,1.7,0.7,1.8,0.6,6018727,5024740,6347234,0.1,141.0,40468.0,77,363.0,656.0,810.0,209.0,874.0,118.0,,,13.0,,1.93,25,39.0,11.0,13,41.0,40.0,30.0,37.0,42.0,58.0,,59.0,12,64.0,9.0,12
58117,ADDUS HEALTHCARE,2150 MAIN STREET #12,RED BLUFF,CA,96080,1076,728,15.8,8.3,5.0,1.4,0.3,0.4,0.6,4411698,3841689,3130493,0.2,117.0,55538.0,78,296.0,432.0,522.0,206.0,668.0,11.0,,27.0,13.0,,2.16,20,37.0,13.0,13,38.0,46.0,41.0,46.0,40.0,52.0,,45.0,15,44.0,11.0,13
227288,AMEDISYS HOME HEALTH CARE,"67 HUNT STREET, SUITE 102",AGAWAM,MA,1001,2201,1314,19.9,10.0,5.2,2.1,0.7,1.3,0.6,9168499,7283915,7030841,0.7,173.0,65319.0,79,467.0,847.0,930.0,384.0,1198.0,60.0,,36.0,,13.0,2.12,27,37.0,15.0,13,42.0,49.0,29.0,43.0,40.0,62.0,,51.0,18,53.0,10.0,16
59426,THERAPEUTIC HOME HEALTHCARE,"5150 N SIXTH STREET, STE 110",FRESNO,CA,93710,118,106,10.4,5.1,4.3,0.1,0.0,0.3,0.6,277090,293266,270997,0.0,13.0,4989.0,75,55.0,51.0,49.0,57.0,52.0,11.0,,38.0,,,2.1,11,30.0,14.0,8,35.0,46.0,22.0,29.0,47.0,55.0,,49.0,14,52.0,13.0,13
57205,ST. ELIZABETH COMM HOSP HHA,1425 VISTA WAY,RED BLUFF,CA,96080,562,421,11.6,6.5,3.2,0.0,0.4,1.5,0.6,2140784,1696851,1376800,0.2,109.0,53898.0,76,177.0,244.0,281.0,140.0,384.0,,,21.0,,,1.85,23,24.0,14.0,15,42.0,43.0,39.0,30.0,38.0,48.0,,47.0,10,46.0,6.0,14
77176,FARMINGTON VALLEY VNA,8 OLD MILL LANE,SIMBURY,CT,6070,370,261,17.9,6.9,5.0,1.7,0.3,3.5,0.6,904284,1162733,1089479,0.2,56.0,22225.0,83,112.0,149.0,216.0,45.0,253.0,,,0.0,,,1.91,35,39.0,9.0,17,44.0,45.0,27.0,39.0,33.0,61.0,,46.0,17,48.0,5.0,12
167288,"IOWA HOME CARE, L L C",2500 UNIVERSITY AVENUE,WEST DES MOINES,IA,50266,938,481,34.2,10.7,4.4,2.0,0.2,16.4,0.6,3301905,2871434,2915324,7.0,119.0,29252.0,75,180.0,301.0,295.0,186.0,446.0,23.0,,,,,2.2,18,24.0,11.0,11,38.0,46.0,36.0,47.0,48.0,58.0,,50.0,14,50.0,11.0,9
187171,AMEDISYS HOME HEALTH CARE SERVICES,"833 VALLEY COLLEGE DRIVE, SUITE 5",LOUISVILLE,KY,40272,631,354,19.9,9.3,5.1,2.6,1.1,1.3,0.6,2217758,1943862,2161631,0.1,37.0,12070.0,76,112.0,242.0,279.0,75.0,302.0,45.0,,,,,2.28,26,34.0,12.0,18,49.0,50.0,47.0,49.0,41.0,63.0,,55.0,14,64.0,16.0,9
237677,PINNACLE SENIOR CARE,"1484 STRAITS DRIVE, SUITE 3",BAY CITY,MI,48706,1424,605,14.2,9.2,2.8,1.4,0.2,0.1,0.6,3293401,3819814,3870746,0.1,71.0,28030.0,71,219.0,386.0,218.0,387.0,474.0,114.0,,,,,2.54,13,41.0,16.0,5,67.0,61.0,47.0,51.0,55.0,58.0,,56.0,16,67.0,17.0,12
237162,HEARTLAND HOME CARE,1426 STRAITS DRIVE,BAY CITY,MI,48706,1030,717,11.1,6.8,2.7,1.0,0.0,0.1,0.6,2228580,2349523,2604589,0.0,162.0,58924.0,76,293.0,424.0,498.0,219.0,627.0,60.0,,21.0,,,2.38,29,31.0,16.0,17,53.0,48.0,43.0,43.0,47.0,67.0,,72.0,16,61.0,12.0,14
347132,AMEDISYS HOME HEALTH OF FAYETTEVILLE,2021 VALLEY GATE DRIVE SUITE 201,FAYETTEVILLE,NC,28304,574,422,17.6,9.5,5.7,0.5,0.0,1.3,0.6,1893658,1545194,1757154,0.0,88.0,29076.0,75,169.0,253.0,284.0,138.0,241.0,161.0,,,,,2.72,20,38.0,10.0,15,50.0,60.0,36.0,32.0,57.0,72.0,,61.0,9,55.0,10.0,14
337108,BROOKHAVEN MEM HOSP CHHA,103 W MAIN ST,PATCHOGUE,NY,11772,1330,957,21.2,11.4,3.6,0.0,0.1,5.4,0.6,5705883,4935947,3825763,7.6,242.0,113557.0,76,412.0,545.0,657.0,300.0,809.0,86.0,,48.0,,,2.43,30,32.0,13.0,17,55.0,51.0,44.0,39.0,56.0,73.0,,,11,49.0,9.0,19
387311,AMEDISYS HOME HEALTH CARE,1820 NW MULHOLLAND DRIVE,ROSEBURG,OR,97470,509,381,17.4,7.9,6.3,1.1,0.6,1.0,0.6,1962957,1616917,1662280,0.5,51.0,18984.0,80,158.0,223.0,294.0,87.0,370.0,0.0,,,,,1.96,22,43.0,14.0,14,40.0,46.0,34.0,40.0,38.0,49.0,,40.0,13,47.0,6.0,12
679784,KLARUS HOME CARE,6421 CAMP BOWIE BLVD SUITE 100,FORT WORTH,TX,76116,2795,1002,26.2,14.1,4.5,1.4,0.3,5.3,0.6,10693633,9700531,9438583,7.8,108.0,38814.0,77,374.0,628.0,758.0,244.0,823.0,89.0,,74.0,,,2.51,21,42.0,15.0,12,52.0,49.0,36.0,56.0,47.0,65.0,,57.0,15,61.0,8.0,13
497566,AMEDISYS HOME HEALTH CARE,16009 PORTERFIELD HIGHWAY,ABINGDON,VA,24210,696,419,17.7,7.6,6.2,2.5,0.7,0.1,0.6,2332811,1897678,2421981,0.0,34.0,9596.0,77,124.0,295.0,281.0,138.0,406.0,,,0.0,,,1.85,20,33.0,9.0,15,43.0,42.0,35.0,42.0,45.0,57.0,,56.0,17,61.0,13.0,13
477007,RUTLAND AREA VNA,7 ALBERT CREE,RUTLAND,VT,5701,1562,997,19.8,7.8,4.2,1.6,0.7,5.2,0.6,5052785,4680178,4615260,2.4,251.0,83428.0,76,413.0,584.0,618.0,379.0,985.0,,,,,,1.95,26,21.0,15.0,16,30.0,42.0,37.0,45.0,37.0,60.0,,46.0,13,51.0,6.0,11
507028,MEMORIAL HOME CARE SERVICES,1019 S 40TH AVENUE,YAKIMA,WA,98908,619,495,16.4,7.5,5.6,1.6,0.3,0.9,0.6,2696580,2017381,1977399,0.9,136.0,51710.0,77,180.0,315.0,360.0,135.0,432.0,,,44.0,,,2.03,21,24.0,16.0,15,44.0,44.0,25.0,40.0,43.0,59.0,,48.0,16,52.0,8.0,11
37146,MOHAVE HOME HEALTH,"2755 SILVER CREEK ROAD, SUITE 127",BULLHEAD CITY,AZ,86442,305,193,20.2,10.4,5.6,0.0,0.0,3.6,0.6,1057350,893042,912783,0.2,29.0,9821.0,77,85.0,108.0,140.0,53.0,178.0,,,,,0.0,2.59,23,35.0,9.0,16,45.0,49.0,45.0,43.0,39.0,65.0,,58.0,14,51.0,6.0,18
37418,"AMERICAN MEDICAL HOMECARE ALLIANCE, INC","9933 EAST BELL ROAD, SUITE 110",SCOTTSDALE,AZ,85260,49,42,11.9,7.6,3.3,0.0,0.0,0.5,0.6,113795,110724,108034,0.4,11.0,4521.0,79,16.0,26.0,27.0,15.0,36.0,,,,,0.0,1.66,21,62.0,14.0,14,29.0,38.0,24.0,38.0,40.0,48.0,,43.0,10,50.0,26.0,12
387064,ASANTE ASHLAND COMMUNITY HOSPITAL HHA,209 NORTH PACIFIC HWY,TALENT,OR,97540,285,216,14.2,6.7,5.3,1.0,0.3,0.4,0.6,652541,854184,823119,0.0,57.0,24306.0,79,70.0,146.0,157.0,59.0,210.0,0.0,,,,0.0,1.64,22,37.0,13.0,17,38.0,34.0,24.0,34.0,36.0,42.0,,41.0,12,45.0,8.0,13
58152,VIRGINIA HOME CARE AGENCY,"1028 N LAKE AVE, # 104",PASADENA,CA,91104,216,123,15.4,8.8,4.8,0.3,0.1,0.9,0.6,457142,651561,554018,0.5,13.0,4833.0,78,32.0,91.0,33.0,90.0,,93.0,,15.0,0.0,,2.66,11,32.0,18.0,6,46.0,34.0,23.0,28.0,55.0,71.0,,,11,66.0,11.0,12
57511,ADDUS HEALTHCARE,"255 YGNACIO VALLEY ROAD, SUITE 100",WALNUT CREEK,CA,94596,82,71,13.6,5.1,6.4,1.4,0.1,0.2,0.6,287084,370977,244909,0.2,15.0,9437.0,81,27.0,44.0,55.0,16.0,54.0,,,,0.0,,1.77,14,39.0,15.0,10,34.0,51.0,20.0,34.0,31.0,49.0,,51.0,13,46.0,7.0,7
77097,DAY KIMBALL HOMECARE,320 POMFRET STREET,PUTNAM,CT,6260,907,521,23.0,9.4,4.0,1.5,0.1,7.5,0.6,2659455,2984681,2619112,2.2,86.0,34801.0,79,196.0,325.0,264.0,257.0,510.0,,,,0.0,,2.18,29,30.0,12.0,14,43.0,38.0,36.0,34.0,41.0,59.0,,54.0,14,55.0,9.0,11
77198,BRISTOL HOSP HOME CARE AGENCY,222 MAIN STREET,BRISTOL,CT,6010,767,540,19.1,9.7,3.4,1.4,0.1,3.9,0.6,2419994,2185563,2041248,0.6,75.0,27935.0,79,222.0,318.0,338.0,202.0,511.0,,,17.0,0.0,,1.99,28,30.0,14.0,15,43.0,43.0,35.0,43.0,40.0,72.0,,53.0,11,44.0,5.0,9
77063,NEW MILFORD VNA INC,68 PARK LANE RD,NEW MILFORD,CT,6776,489,363,18.4,7.2,5.7,2.0,0.2,2.7,0.6,1159516,1652516,1456502,0.3,78.0,36943.0,80,116.0,247.0,230.0,133.0,345.0,,,,0.0,,1.86,27,23.0,14.0,17,33.0,40.0,30.0,32.0,27.0,63.0,,44.0,21,53.0,4.0,12
107171,GENTIVA HEALTH SERVICES,2240 BELLEAIR RD STE 180,CLEARWATER,FL,33764,820,522,21.5,9.2,8.1,1.7,0.6,1.2,0.6,3204026,2624298,2852397,0.9,58.0,21914.0,77,216.0,306.0,413.0,109.0,466.0,26.0,,18.0,0.0,,2.36,23,24.0,12.0,18,37.0,55.0,39.0,39.0,39.0,73.0,,64.0,21,55.0,10.0,15
108226,HELPING HANDS HOME CARE INC,1630 SE 18TH ST UNIT 601,OCALA,FL,34471,644,418,21.3,9.8,5.1,4.0,0.2,1.6,0.6,2080367,2095127,2394284,0.8,48.0,13651.0,78,168.0,250.0,323.0,95.0,357.0,39.0,,12.0,0.0,,2.26,29,33.0,12.0,17,50.0,51.0,41.0,39.0,49.0,,,72.0,15,61.0,7.0,15
157059,ST VINCENT HOME HEALTH - ANDERSON REGION,2015 JACKSON ST,ANDERSON,IN,46016,1328,899,19.7,8.6,5.0,2.4,0.7,2.5,0.6,5944157,3851281,4107201,0.2,107.0,38596.0,77,332.0,567.0,707.0,192.0,837.0,47.0,,,0.0,,2.03,23,26.0,21.0,13,43.0,43.0,41.0,47.0,46.0,66.0,,53.0,20,62.0,12.0,13
157539,AMEDISYS HOME HEALTH,2233 W FRANKLIN  ST,EVANSVILLE,IN,47712,211,160,17.7,7.3,5.4,3.4,0.9,0.2,0.6,721293,616848,702485,0.3,32.0,9990.0,77,56.0,104.0,111.0,49.0,150.0,,,0.0,0.0,,2.67,18,46.0,7.0,10,45.0,43.0,39.0,46.0,45.0,56.0,,58.0,11,69.0,18.0,9
157218,AMEDISYS HOME HEALTH,9101 WESLEYAN RD STE 300,INDIANAPOLIS,IN,46268,175,120,21.6,8.5,7.6,2.3,0.4,2.2,0.6,691546,589824,592888,0.3,21.0,5288.0,78,40.0,80.0,74.0,46.0,87.0,30.0,,,0.0,,2.9,19,43.0,16.0,10,42.0,55.0,35.0,48.0,54.0,55.0,,58.0,16,56.0,8.0,16
227576,"BAYADA HOME HEALTH CARE, INC","300 CONGRESS STREET, SUITE 401B",QUINCY,MA,2169,322,220,18.4,6.9,5.8,2.6,0.1,2.5,0.6,989623,1208407,1031004,0.1,25.0,12184.0,81,77.0,143.0,167.0,53.0,194.0,17.0,,,0.0,,1.89,24,41.0,10.0,13,38.0,41.0,25.0,36.0,27.0,56.0,,49.0,15,50.0,12.0,8
239012,HUMAN TOUCH HOME HEALTH CARE,"20600 EUREKA ROAD, STE 604",TAYLOR,MI,48180,169,127,15.6,3.9,9.3,0.1,0.0,1.7,0.6,401908,510032,547363,0.0,14.0,4852.0,70,41.0,86.0,46.0,81.0,54.0,55.0,,,0.0,,1.93,15,27.0,34.0,6,43.0,28.0,45.0,56.0,65.0,68.0,,75.0,9,,12.0,13
237202,PINNACLE SENIOR CARE,"2755 CARPENTER ROAD, SUITE 2NE",ANN ARBOR,MI,48108,302,173,14.0,6.9,4.5,0.8,0.1,1.1,0.6,698251,835401,886113,0.0,44.0,14893.0,75,62.0,111.0,100.0,73.0,134.0,30.0,,,0.0,,2.28,17,43.0,9.0,9,50.0,49.0,37.0,43.0,54.0,52.0,,61.0,8,72.0,8.0,13
237335,HEARTLAND HOME CARE SOUTHFIELD,"26211 CENTRAL PARK BOULEVARD, SUITE 600",SOUTHFIELD,MI,48076,519,434,15.3,5.5,5.7,3.4,0.2,0.4,0.6,1595356,1592225,1705356,0.0,47.0,15625.0,78,157.0,277.0,351.0,83.0,305.0,112.0,,,0.0,,2.58,24,51.0,15.0,15,56.0,55.0,38.0,47.0,50.0,64.0,,70.0,20,70.0,13.0,19
237411,RESTHAVEN HOME CARE,828 LINCOLN AVENUE,HOLLAND,MI,49423,259,177,19.4,7.3,6.2,2.9,0.7,1.8,0.6,911518,706176,833442,0.4,24.0,7690.0,83,44.0,133.0,147.0,30.0,170.0,,,,0.0,,1.72,24,44.0,14.0,13,34.0,46.0,23.0,47.0,40.0,54.0,,41.0,24,60.0,16.0,14
427029,GHS HOME HEALTH AGENCY,876 WEST FARIS ROAD,GREENVILLE,SC,29605,1101,854,15.3,6.9,5.5,1.4,0.3,0.6,0.6,2219415,3173399,3320074,0.4,232.0,91545.0,72,376.0,478.0,667.0,187.0,700.0,133.0,,,0.0,,2.13,20,21.0,12.0,14,39.0,47.0,27.0,39.0,44.0,70.0,,51.0,16,55.0,5.0,11
447276,NHC HOMECARE SPRINGFIELD,2100 PARK PLAZA DRIVE,SPRINGFIELD,TN,37172,1468,744,20.7,9.0,6.3,1.9,0.3,2.6,0.6,5655598,4475521,4901897,0.1,114.0,39181.0,76,278.0,466.0,556.0,188.0,631.0,101.0,,,0.0,,2.22,23,33.0,12.0,13,44.0,54.0,34.0,45.0,48.0,63.0,,61.0,13,60.0,11.0,13
477015,LAMOILLE HOME HEALTH & HOSPICE,54 FARR AVENUE,MORRISVILLE,VT,5661,621,329,18.7,7.0,4.6,0.4,0.0,6.3,0.6,1611362,1684140,1668881,1.6,81.0,29351.0,78,138.0,191.0,220.0,109.0,319.0,,,,0.0,,1.61,21,24.0,8.0,14,31.0,28.0,26.0,34.0,30.0,48.0,,43.0,7,50.0,4.0,9
367077,ROBINSON VISITING NURSE & HOSPICE,"6693 NORTH CHESTNUT STREET, SUITE 11A",RAVENNA,OH,44266,415,307,16.4,8.3,4.4,1.3,0.2,1.6,0.6,1981550,997732,1137843,0.4,80.0,25345.0,77,104.0,203.0,237.0,70.0,295.0,,,,0.0,0.0,2.42,29,34.0,10.0,14,61.0,50.0,41.0,41.0,48.0,73.0,,54.0,13,53.0,9.0,12
507007,GROUP HEALTH HOME HEALTH & HOSPICE,"201 16TH AVE EAST, CWB-C140",SEATTLE,WA,98112,236,148,16.0,8.1,2.7,0.7,0.3,3.0,1.2,913496,673920,615163,0.5,55.0,25004.0,77,61.0,87.0,130.0,18.0,112.0,25.0,,,,,1.86,9,25.0,9.0,16,34.0,46.0,24.0,32.0,39.0,34.0,57.0,31.0,6,25.0,1.0,8
237226,HOLLAND COMM HOSP HOME HEALTH,"130 CENTRAL AVENUE, SUITE 220",HOLLAND,MI,49423,1043,693,17.5,10.4,3.3,1.2,0.1,1.3,1.2,3550531,2516583,2902093,1.4,80.0,26453.0,78,239.0,454.0,487.0,206.0,610.0,11.0,,58.0,0.0,,2.08,22,34.0,12.0,14,38.0,46.0,24.0,47.0,39.0,60.0,,45.0,22,59.0,13.0,10
367730,GREAT LAKES CARING,"3425 EXECUTIVE PARKWAY, SUITE 206",TOLEDO,OH,43606,255,143,19.5,8.6,4.8,1.3,1.1,2.5,1.2,1016860,721839,786998,0.7,33.0,11087.0,77,50.0,93.0,103.0,40.0,120.0,19.0,,,0.0,,2.09,24,46.0,13.0,14,45.0,48.0,43.0,52.0,50.0,69.0,,65.0,10,62.0,20.0,13
57620,SUTTER VISITING NURSE ASSOCIATION AND HOSPICE,889 11TH STREET,LAKEPORT,CA,95453,748,577,13.9,6.9,5.1,0.3,0.0,0.9,0.7,3679838,2553991,2074897,0.0,74.0,40439.0,75,236.0,341.0,376.0,201.0,517.0,,,20.0,24.0,,2.0,19,22.0,12.0,14,42.0,41.0,40.0,36.0,36.0,56.0,,55.0,12,51.0,6.0,10
507115,MOUNTAINVIEW HOME HEALTH,409 N SECOND ST,YAKIMA,WA,98901,742,557,18.0,5.4,7.6,3.1,0.2,1.2,0.7,3211843,2704150,2660697,0.4,123.0,45261.0,80,206.0,351.0,367.0,190.0,473.0,,,49.0,26.0,,1.94,21,38.0,10.0,11,38.0,42.0,23.0,48.0,39.0,54.0,,44.0,16,54.0,12.0,11
77074,"VISITING NURSE & HOSPICE OF FAIRFIELD COUNTY, INC","761 MAIN AVENUE, SUITE 114",NORWALK,CT,6851,1042,697,20.0,6.9,6.2,1.6,0.3,4.4,0.7,2334029,4000107,3213015,1.1,125.0,66202.0,83,257.0,440.0,573.0,124.0,625.0,31.0,,20.0,,14.0,2.11,30,35.0,10.0,22,45.0,37.0,25.0,32.0,32.0,56.0,,44.0,14,46.0,6.0,12
47057,AMEDISYS HOME HEALTH OF SEARCY,404 LLAMA DRIVE,SEARCY,AR,72143,782,476,19.1,9.7,6.1,0.5,1.1,1.0,0.7,2419050,2043750,2485824,0.4,87.0,27720.0,76,177.0,299.0,301.0,175.0,443.0,22.0,,,,,2.16,20,36.0,12.0,16,51.0,45.0,46.0,39.0,42.0,54.0,,63.0,16,55.0,16.0,17
237073,REVERENCE HOME HEALTH AND HOSPICE,"5445 ALI DRIVE, DEPT 200",GRAND BLANC,MI,48439,1209,931,14.6,7.7,4.0,1.1,0.1,0.9,0.7,2818645,3554575,3365900,0.3,213.0,87565.0,76,383.0,548.0,746.0,185.0,842.0,67.0,,,,,2.29,26,35.0,17.0,19,53.0,56.0,46.0,41.0,50.0,69.0,,65.0,17,59.0,6.0,15
267607,AMEDISYS HOME HEALTH OF MISSOURI,"3050 SOUTH NATIONAL AVENUE, SUITE 106",SPRINGFIELD,MO,65804,811,450,19.9,8.0,7.2,2.5,1.0,0.4,0.7,2981123,2507939,2921671,0.4,57.0,16512.0,78,144.0,306.0,336.0,114.0,440.0,,,,,,2.0,18,41.0,10.0,12,36.0,41.0,38.0,49.0,36.0,49.0,,46.0,20,58.0,16.0,11
347099,AMEDISYS HOME HEALTH CARE,1050 XRAY DRIVE,GASTONIA,NC,28054,1288,777,18.3,8.8,5.7,1.4,0.8,0.9,0.7,4417073,3822178,4080884,0.3,196.0,63838.0,76,227.0,550.0,484.0,293.0,637.0,122.0,,,,,2.27,20,40.0,8.0,12,37.0,42.0,31.0,41.0,47.0,60.0,,48.0,14,47.0,12.0,11
307046,VNA AT HCS INC,312 MARLBOROUGH STREET,KEENE,NH,3431,2272,1404,15.6,8.1,3.8,1.2,0.0,1.9,0.7,5638768,6479962,6257269,0.4,326.0,132053.0,77,558.0,846.0,1119.0,285.0,1373.0,,,,0.0,13.0,1.78,24,40.0,12.0,13,39.0,44.0,34.0,40.0,33.0,52.0,,43.0,21,55.0,6.0,10
